Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Houston Astros,26,27,4.58,29,31,0.483,4.31,60,60,60,0,0,0,16,524,472,275,251,70,217,7,526,29,4,25,2239,104,4.33,1.315,8.1,1.2,3.7,9,2.42,410
Kansas City Royals,27,27.1,4.53,26,34,0.433,4.3,60,60,59,1,4,1,19,517,500,272,247,76,211,7,517,29,3,28,2233,110,4.49,1.375,8.7,1.3,3.7,9,2.45,413
Los Angeles Angels,25,27.4,5.35,26,34,0.433,5.09,60,60,59,1,2,0,12,525.1,492,321,297,82,199,8,523,21,1,25,2256,90,4.49,1.315,8.4,1.4,3.4,9,2.63,370
Los Angeles Dodgers,21,27.6,3.55,43,17,0.717,3.02,60,60,60,0,5,0,15,538.2,424,213,181,66,145,4,517,21,0,24,2172,146,3.79,1.056,7.1,1.1,2.4,8.6,3.57,353
Miami Marlins,37,27.5,5.07,31,29,0.517,4.86,60,60,59,1,6,0,18,504,506,304,272,82,226,14,451,26,4,11,2214,96,5.02,1.452,9,1.5,4,8.1,2,403
Milwaukee Brewers,25,28,4.4,29,31,0.483,4.16,60,60,59,1,8,0,14,517.1,446,264,239,67,189,1,614,35,2,21,2186,110,3.8,1.227,7.8,1.2,3.3,10.7,3.25,379
Minnesota Twins,24,30,3.58,36,24,0.6,3.58,60,60,60,0,4,0,17,513.1,448,215,204,62,170,0,535,21,1,20,2130,122,3.79,1.204,7.9,1.1,3,9.4,3.15,381
New York Mets,25,29.2,5.13,26,34,0.433,4.98,60,60,60,0,1,0,11,513.1,511,308,284,81,219,7,574,29,0,24,2262,86,4.46,1.422,9,1.4,3.8,10.1,2.62,419
New York Yankees,25,29.2,4.5,33,27,0.55,4.35,60,60,58,2,2,1,14,500.2,455,270,242,83,168,5,528,25,2,22,2133,99,4.39,1.244,8.2,1.5,3,9.5,3.14,371
Oakland Athletics,19,29.9,3.87,36,24,0.6,3.77,60,60,59,1,5,1,17,515.1,471,232,216,69,165,6,506,15,1,16,2164,112,4.02,1.234,8.2,1.2,2.9,8.8,3.07,396
Philadelphia Phillies,29,29.1,5.18,28,32,0.467,5.14,60,60,57,3,5,2,11,497,550,311,284,80,185,12,532,28,3,14,2197,88,4.43,1.479,10,1.4,3.4,9.6,2.88,401
Pittsburgh Pirates,29,27.7,4.97,19,41,0.317,4.68,60,60,59,1,3,0,6,513,451,298,267,80,249,3,536,37,2,28,2227,98,4.8,1.365,7.9,1.4,4.4,9.4,2.15,400
San Diego Padres,24,27.8,4.02,37,23,0.617,3.86,60,60,59,1,5,1,13,520.1,456,241,223,70,170,2,565,22,3,19,2160,109,3.88,1.203,7.9,1.2,2.9,9.8,3.32,363
Seattle Mariners,29,26.6,5.05,27,33,0.45,5.03,60,60,59,1,0,0,15,516.2,482,303,289,79,230,7,469,37,1,23,2249,86,4.91,1.378,8.4,1.4,4,8.2,2.04,402
San Francisco Giants,23,29,4.95,29,31,0.483,4.64,60,60,59,1,0,0,13,517.2,474,297,267,69,210,2,488,34,5,20,2240,93,4.45,1.321,8.2,1.2,3.7,8.5,2.32,397
St. Louis Cardinals,26,27.6,3.95,30,28,0.517,3.9,58,58,56,2,2,0,13,473,376,229,205,69,204,8,464,26,1,21,1989,108,4.58,1.226,7.2,1.3,3.9,8.8,2.27,348
Tampa Bay Rays,25,28.1,3.82,40,20,0.667,3.56,60,60,60,0,4,0,23,527.2,475,229,209,70,168,4,552,29,1,30,2212,116,3.94,1.219,8.1,1.2,2.9,9.4,3.29,408
Texas Rangers,25,28.7,5.2,22,38,0.367,5.02,60,60,58,2,3,1,10,516.2,479,312,288,81,236,3,489,30,2,21,2273,91,4.88,1.384,8.3,1.4,4.1,8.5,2.07,415
Toronto Blue Jays,29,29.5,5.2,32,28,0.533,4.6,60,60,60,0,1,0,17,524.2,517,312,268,81,250,7,519,14,2,15,2309,96,4.73,1.462,8.9,1.4,4.3,8.9,2.08,435
Washington Nationals,24,30.8,5.02,26,34,0.433,5.09,60,60,58,2,3,0,12,503.2,548,301,285,94,216,22,508,22,4,23,2273,89,5.02,1.517,9.8,1.7,3.9,9.1,2.35,468
