Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,26,27.7,4.92,25,35,0.417,4.84,60,60,60,0,1,0,13,518.1,506,295,279,93,235,20,524,23,1,23,2279,94,4.99,1.43,8.8,1.6,4.1,9.1,2.23,432
Atlanta Braves,29,28.5,4.8,35,25,0.583,4.41,60,60,60,0,4,0,13,524.1,494,288,257,69,220,13,506,33,2,23,2276,106,4.42,1.362,8.5,1.2,3.8,8.7,2.3,424
Baltimore Orioles,27,28.3,4.9,25,35,0.417,4.51,60,60,60,0,1,0,11,518.2,489,294,260,79,192,2,487,34,4,35,2246,105,4.6,1.313,8.5,1.4,3.3,8.5,2.54,407
Boston Red Sox,30,29.1,5.85,24,36,0.4,5.58,60,60,60,0,2,0,14,524,587,351,325,98,252,4,537,31,3,28,2389,87,5.19,1.601,10.1,1.7,4.3,9.2,2.13,473
Chicago Cubs,26,30.3,4,34,26,0.567,3.99,60,60,58,2,8,2,16,518.1,451,240,230,74,182,7,523,17,4,22,2153,114,4.18,1.221,7.8,1.3,3.2,9.1,2.87,364
Chicago White Sox,28,27.6,4.1,35,25,0.583,3.81,60,60,59,1,6,1,13,527,448,246,223,71,217,6,523,23,0,24,2235,118,4.32,1.262,7.7,1.2,3.7,8.9,2.41,411
Cincinnati Reds,23,28.6,4.05,31,29,0.517,3.84,60,60,57,3,5,2,9,504,401,243,215,67,213,6,615,29,5,23,2125,127,3.92,1.218,7.2,1.2,3.8,11,2.89,372
Cleveland Indians,18,27.6,3.48,35,25,0.583,3.29,60,60,59,1,7,0,20,536,440,209,196,68,157,8,621,27,1,20,2176,136,3.55,1.114,7.4,1.1,2.6,10.4,3.96,367
Colorado Rockies,24,27.3,5.88,26,34,0.433,5.59,60,60,59,1,1,0,16,526.1,579,353,327,83,205,5,393,40,1,29,2335,93,5.14,1.49,9.9,1.4,3.5,6.7,1.92,409
Detroit Tigers,23,26.6,5.48,23,35,0.397,5.63,58,58,57,1,1,0,11,492.1,511,318,308,91,192,2,444,34,0,18,2174,81,5.17,1.428,9.3,1.7,3.5,8.1,2.31,383
