Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,50,5.49,0.665,162,1458,1105,13062,6118,4354,1663,101,143,0.983,-31,-3,-24,2,11
Atlanta Braves,59,4.84,0.692,161,1449,1164,13029,6009,4343,1565,101,134,0.983,9,1,-14,-1,-8
Baltimore Orioles,46,4.41,0.688,162,1458,1108,12888,5955,4296,1579,80,165,0.987,-12,-1,1,3,5
Boston Red Sox,50,4.28,0.695,162,1458,1143,12957,5821,4319,1427,75,139,0.987,22,2,69,0,-1
Chicago Cubs,45,3.43,0.728,162,1458,1017,13137,6115,4379,1635,101,116,0.983,95,9,107,1,-2
Chicago White Sox,48,4.41,0.687,162,1458,1223,13020,5971,4340,1536,95,148,0.984,2,0,-2,-2,0
Cincinnati Reds,52,5.27,0.694,162,1458,1151,12978,5977,4326,1549,102,142,0.983,10,1,-14,-1,2
Cleveland Indians,48,4.2,0.696,161,1449,1032,13005,6032,4335,1608,89,126,0.985,68,6,41,0,-2
Colorado Rockies,47,5.31,0.667,162,1458,1125,12864,6147,4288,1749,110,148,0.982,5,0,11,0,-5
Detroit Tigers,44,4.48,0.689,161,1449,1125,12852,5896,4284,1537,75,148,0.987,-40,-4,-57,0,4
Houston Astros,43,4.33,0.681,162,1458,1102,13212,6080,4404,1599,77,135,0.987,-13,-1,77,2,-7
Kansas City Royals,42,4.4,0.687,162,1458,1188,12960,5940,4320,1526,94,134,0.984,7,1,10,0,3
Los Angeles Angels,53,4.49,0.685,162,1458,1058,12792,5844,4264,1483,97,148,0.983,-22,-2,38,0,4
Los Angeles Dodgers,55,3.94,0.699,162,1458,1060,13077,5887,4359,1448,80,101,0.986,21,2,56,0,-4
Miami Marlins,52,4.24,0.683,161,1449,1056,12915,5897,4305,1506,86,137,0.985,-7,-1,4,0,9
Milwaukee Brewers,49,4.52,0.68,162,1458,1117,12909,6110,4303,1671,136,145,0.978,3,0,24,0,1
Minnesota Twins,49,5.49,0.662,162,1458,1192,12987,6065,4329,1610,126,172,0.979,-75,-7,-57,-1,0
New York Mets,46,3.81,0.678,162,1458,1052,13023,5950,4341,1519,90,138,0.985,-18,-2,3,0,5
New York Yankees,53,4.33,0.694,162,1458,1109,12855,5907,4285,1536,86,116,0.985,4,0,14,-2,-4
Oakland Athletics,49,4.7,0.685,162,1458,1122,12900,6027,4300,1630,97,152,0.984,-54,-5,-70,-4,-5
Philadelphia Phillies,49,4.91,0.681,162,1458,1094,12933,5911,4311,1503,97,142,0.984,17,2,-11,-3,-4
Pittsburgh Pirates,54,4.68,0.676,162,1458,1037,13056,6208,4352,1745,111,172,0.982,-18,-2,-6,0,-6
San Diego Padres,58,4.75,0.687,162,1458,1107,12960,6052,4320,1623,109,165,0.982,-15,-1,-3,0,-1
Seattle Mariners,54,4.36,0.694,162,1458,1092,13113,6035,4371,1575,89,158,0.985,5,0,2,0,2
San Francisco Giants,45,3.9,0.702,162,1458,1135,13143,6092,4381,1639,72,136,0.988,44,4,75,6,3
St. Louis Cardinals,40,4.4,0.679,162,1458,996,13035,6199,4345,1747,107,169,0.983,-23,-2,-10,-1,0
Tampa Bay Rays,48,4.4,0.687,162,1458,1156,12837,5783,4279,1410,94,129,0.984,-37,-3,16,0,-2
Texas Rangers,52,4.67,0.692,162,1458,1105,12987,6081,4329,1655,97,190,0.984,47,4,2,0,4
Toronto Blue Jays,49,4.11,0.703,162,1458,1087,13134,6088,4378,1622,88,144,0.986,11,1,58,0,-3
Washington Nationals,42,3.78,0.7,162,1458,1147,13137,5877,4379,1425,73,142,0.988,49,4,2,0,3
